control_value,R,G,B,W
0.002,1332,896,672,2765
0.003,1330,894,670,2759
0.004,1329,893,670,2756
0.005,1329,892,669,2755
0.006,1329,892,669,2755
0.007,1328,892,670,2755
0.008,1328,893,671,2756
0.009,1328,893,671,2756
0.01,1327,893,672,2757
0.011,1328,893,673,2758
0.012,1327,894,673,2759
0.013,1327,894,674,2760
0.014,1327,895,675,2762
0.015,1327,895,676,2763
0.016,1327,896,677,2764
0.017,1327,896,677,2765
0.018,1326,896,678,2766
0.019,1326,897,679,2768
0.02,1326,898,681,2771
0.021,1326,898,681,2771
0.022,1326,899,682,2772
0.023,1326,899,682,2773
0.024,1326,899,683,2774
0.025,1325,900,684,2776
0.026,1325,901,686,2778
0.027,1325,901,686,2779
0.028,1325,902,687,2780
0.029,1325,902,687,2781
0.03,1325,902,688,2782
0.031,1325,903,689,2784
0.032,1325,903,689,2784
0.033,1324,904,691,2787
0.034,1324,905,692,2789
0.035,1324,905,692,2790
0.036,1324,906,693,2791
0.037,1324,906,694,2792
0.038,1324,907,695,2793
0.039,1324,907,696,2795
0.04,1324,907,696,2795
0.041,1324,908,698,2798
0.042,1323,909,699,2799
0.043,1323,910,699,2801
0.044,1323,910,700,2802
0.045,1323,911,701,2804
0.046,1323,911,702,2806
0.047,1323,912,703,2806
0.048,1323,912,703,2807
0.049,1323,913,704,2809
0.05,1323,914,706,2812
0.051,1323,914,707,2813
0.052,1322,915,708,2815
0.053,1322,915,708,2815
0.054,1322,916,710,2818
0.055,1322,917,711,2820
0.056,1322,917,711,2821
0.057,1322,918,712,2822
0.058,1322,918,713,2824
0.059,1322,918,713,2824
0.06,1322,919,715,2826
0.061,1321,920,716,2829
0.062,1322,920,717,2829
0.063,1321,921,718,2831
0.064,1321,921,718,2832
0.065,1321,922,719,2833
0.066,1321,922,720,2834
0.067,1321,923,720,2835
0.068,1321,924,722,2837
0.069,1321,924,723,2840
0.07,1321,925,723,2840
0.071,1321,925,724,2842
0.072,1320,926,725,2843
0.073,1320,926,726,2844
0.074,1320,927,727,2846
0.075,1320,928,728,2848
0.076,1320,928,728,2849
0.077,1320,928,729,2850
0.078,1320,929,730,2852
0.079,1320,929,731,2852
